codeemd,upplocalcd,doname,gungu,emd
11110101,11,서울특별시,종로구,청운동
11110102,11,서울특별시,종로구,신교동
11110103,11,서울특별시,종로구,궁정동
11110109,11,서울특별시,종로구,누상동
11110111,11,서울특별시,종로구,옥인동
11110115,11,서울특별시,종로구,사직동
11110119,11,서울특별시,종로구,세종로
11110121,11,서울특별시,종로구,신문로2가
11110130,11,서울특별시,종로구,와룡동
11110131,11,서울특별시,종로구,권농동
11110140,11,서울특별시,종로구,삼청동
11110149,11,서울특별시,종로구,원서동
11110150,11,서울특별시,종로구,훈정동
11110159,11,서울특별시,종로구,원남동
11110168,11,서울특별시,종로구,동숭동
11110169,11,서울특별시,종로구,혜화동
11110173,11,서울특별시,종로구,명륜3가
11110182,11,서울특별시,종로구,구기동
11110183,11,서울특별시,종로구,평창동
11110184,11,서울특별시,종로구,부암동
11110185,11,서울특별시,종로구,홍지동
11110186,11,서울특별시,종로구,신영동
11110187,11,서울특별시,종로구,무악동
11140121,11,서울특별시,중구,회현동1가
11140142,11,서울특별시,중구,예장동
11140144,11,서울특별시,중구,장충동2가
11140162,11,서울특별시,중구,신당동
11170101,11,서울특별시,용산구,후암동
11170102,11,서울특별시,용산구,용산동2가
11170103,11,서울특별시,용산구,용산동4가
11170104,11,서울특별시,용산구,갈월동
11170105,11,서울특별시,용산구,남영동
11170106,11,서울특별시,용산구,용산동1가
11170119,11,서울특별시,용산구,효창동
11170124,11,서울특별시,용산구,한강로1가
11170126,11,서울특별시,용산구,용산동3가
11170127,11,서울특별시,용산구,용산동5가
11170128,11,서울특별시,용산구,한강로3가
11170130,11,서울특별시,용산구,이태원동
11170131,11,서울특별시,용산구,한남동
11170132,11,서울특별시,용산구,동빙고동
11170133,11,서울특별시,용산구,서빙고동
11170135,11,서울특별시,용산구,용산동6가
11200102,11,서울특별시,성동구,하왕십리동
11200105,11,서울특별시,성동구,마장동
11200107,11,서울특별시,성동구,행당동
11200108,11,서울특별시,성동구,응봉동
11200109,11,서울특별시,성동구,금호동1가
11200110,11,서울특별시,성동구,금호동2가
11200111,11,서울특별시,성동구,금호동3가
11200112,11,서울특별시,성동구,금호동4가
11200113,11,서울특별시,성동구,옥수동
11200114,11,서울특별시,성동구,성수동1가
11210101,11,서울특별시,광진구,중곡동
11210102,11,서울특별시,광진구,능동
11210103,11,서울특별시,광진구,구의동
11210104,11,서울특별시,광진구,광장동
11210107,11,서울특별시,광진구,화양동
11230104,11,서울특별시,동대문구,전농동
11230105,11,서울특별시,동대문구,답십리동
11230107,11,서울특별시,동대문구,청량리동
11230108,11,서울특별시,동대문구,회기동
11230109,11,서울특별시,동대문구,휘경동
11230110,11,서울특별시,동대문구,이문동
11260101,11,서울특별시,중랑구,면목동
11260102,11,서울특별시,중랑구,상봉동
11260103,11,서울특별시,중랑구,중화동
11260104,11,서울특별시,중랑구,묵동
11260105,11,서울특별시,중랑구,망우동
11260106,11,서울특별시,중랑구,신내동
11290101,11,서울특별시,성북구,성북동
11290103,11,서울특별시,성북구,돈암동
11290111,11,서울특별시,성북구,삼선동1가
11290123,11,서울특별시,성북구,안암동3가
11290125,11,서울특별시,성북구,안암동5가
11290132,11,서울특별시,성북구,보문동3가
11290133,11,서울특별시,성북구,정릉동
11290135,11,서울특별시,성북구,종암동
11290136,11,서울특별시,성북구,하월곡동
11290137,11,서울특별시,성북구,상월곡동
11290138,11,서울특별시,성북구,장위동
11290139,11,서울특별시,성북구,석관동
11300101,11,서울특별시,강북구,미아동
11300102,11,서울특별시,강북구,번동
11300103,11,서울특별시,강북구,수유동
11300104,11,서울특별시,강북구,우이동
11320105,11,서울특별시,도봉구,쌍문동
11320106,11,서울특별시,도봉구,방학동
11320107,11,서울특별시,도봉구,창동
11320108,11,서울특별시,도봉구,도봉동
11350102,11,서울특별시,노원구,월계동
11350103,11,서울특별시,노원구,공릉동
11350104,11,서울특별시,노원구,하계동
11350105,11,서울특별시,노원구,상계동
11350106,11,서울특별시,노원구,중계동
11380101,11,서울특별시,은평구,수색동
11380102,11,서울특별시,은평구,녹번동
11380103,11,서울특별시,은평구,불광동
11380104,11,서울특별시,은평구,갈현동
11380105,11,서울특별시,은평구,구산동
11380107,11,서울특별시,은평구,응암동
11380108,11,서울특별시,은평구,역촌동
11380109,11,서울특별시,은평구,신사동
11380110,11,서울특별시,은평구,증산동
11380114,11,서울특별시,은평구,진관동
11410106,11,서울특별시,서대문구,천연동
11410107,11,서울특별시,서대문구,옥천동
11410108,11,서울특별시,서대문구,영천동
