analdate,area,d1,d2,d3,d4,doname,maxi,meanavg,mini,regioncode,searchcd,std
2025-08-23 18,"     592,571",100,0,0,0,전국,33,26,4,0,jeongug,2
2025-08-24-00,"     592,571",100,0,0,0,전국,27,15,6,0,jeongug,3
2025-08-24-03,"     592,571",100,0,0,0,전국,26,13,5,0,jeongug,2
2025-08-24-06,"     592,571",100,0,0,0,전국,25,12,5,0,jeongug,2
2025-08-24-09,"     592,571",100,0,0,0,전국,33,23,10,0,jeongug,2
2025-08-24-12,"     592,571",100,0,0,0,전국,33,27,13,0,jeongug,2
2025-08-24-15,"     592,571",100,0,0,0,전국,33,27,13,0,jeongug,2
2025-08-24-18,"     592,571",100,0,0,0,전국,33,26,13,0,jeongug,2
2025-08-24-21,"     592,571",100,0,0,0,전국,31,18,7,0,jeongug,3
2025-08-25-00,"     592,571",100,0,0,0,전국,28,14,5,0,jeongug,3
2025-08-25-03,"     592,571",100,0,0,0,전국,26,13,5,0,jeongug,2
2025-08-25-06,"     592,571",100,0,0,0,전국,25,12,4,0,jeongug,2
2025-08-25-09,"     592,571",100,0,0,0,전국,31,20,8,0,jeongug,3
2025-08-25-12,"     592,571",100,0,0,0,전국,33,23,10,0,jeongug,3
2025-08-25-15,"     592,571",100,0,0,0,전국,33,22,9,0,jeongug,3
2025-08-25-18,"     592,571",100,0,0,0,전국,32,21,9,0,jeongug,3
2025-08-25-21,"     592,571",100,0,0,0,전국,29,15,6,0,jeongug,3
2025-08-26-00,"     592,571",100,0,0,0,전국,26,13,5,0,jeongug,3
