analdate,area,d1,d2,d3,d4,doname,maxi,meanavg,mini,regioncode,std
2025-08-23 18,"      60,570",100,0,0,0,서울특별시,33,28,4,11,1
2025-08-24 00,"      60,570",100,0,0,0,서울특별시,31,19,10,11,2
2025-08-24 03,"      60,570",100,0,0,0,서울특별시,26,17,9,11,2
2025-08-24 06,"      60,570",100,0,0,0,서울특별시,24,16,9,11,2
2025-08-24 09,"      60,570",100,0,0,0,서울특별시,33,25,18,11,2
2025-08-24 12,"      60,570",100,0,0,0,서울특별시,33,28,23,11,1
2025-08-24 15,"      60,570",100,0,0,0,서울특별시,33,28,25,11,1
2025-08-24 18,"      60,570",100,0,0,0,서울특별시,33,28,24,11,1
2025-08-24 21,"      60,570",100,0,0,0,서울특별시,33,23,11,11,2
2025-08-25 00,"      60,570",100,0,0,0,서울특별시,31,20,11,11,2
2025-08-25 03,"      60,570",100,0,0,0,서울특별시,26,18,9,11,2
2025-08-25 06,"      60,570",100,0,0,0,서울특별시,26,17,11,11,2
2025-08-25 09,"      60,570",100,0,0,0,서울특별시,31,23,16,11,1
2025-08-25 12,"      60,570",100,0,0,0,서울특별시,33,25,18,11,2
2025-08-25 15,"      60,570",100,0,0,0,서울특별시,33,24,16,11,2
2025-08-25 18,"      60,570",100,0,0,0,서울특별시,31,24,16,11,2
2025-08-25 21,"      60,570",100,0,0,0,서울특별시,28,20,11,11,2
2025-08-26 00,"      60,570",100,0,0,0,서울특별시,28,17,9,11,2
2025-08-23 18,"      77,293",100,0,0,0,부산광역시,33,28,3,26,2
2025-08-24 00,"      77,293",100,0,0,0,부산광역시,28,19,9,26,2
2025-08-24 03,"      77,293",100,0,0,0,부산광역시,26,15,7,26,2
2025-08-24 06,"      77,293",100,0,0,0,부산광역시,26,13,7,26,2
2025-08-24 09,"      77,293",100,0,0,0,부산광역시,33,27,18,26,2
2025-08-24 12,"      77,293",100,0,0,0,부산광역시,33,28,22,26,2
2025-08-24 15,"      77,293",100,0,0,0,부산광역시,33,28,22,26,2
2025-08-24 18,"      77,293",100,0,0,0,부산광역시,33,28,21,26,2
2025-08-24 21,"      77,293",100,0,0,0,부산광역시,31,23,15,26,2
2025-08-25 00,"      77,293",100,0,0,0,부산광역시,26,18,7,26,2
2025-08-25 03,"      77,293",100,0,0,0,부산광역시,26,16,7,26,2
2025-08-25 06,"      77,293",100,0,0,0,부산광역시,24,14,5,26,2
2025-08-25 09,"      77,293",100,0,0,0,부산광역시,33,24,11,26,3
2025-08-25 12,"      77,293",100,0,0,0,부산광역시,33,26,14,26,3
2025-08-25 15,"      77,293",100,0,0,0,부산광역시,33,25,13,26,3
2025-08-25 18,"      77,293",100,0,0,0,부산광역시,33,24,14,26,3
2025-08-25 21,"      77,293",100,0,0,0,부산광역시,28,18,8,26,3
2025-08-26 00,"      77,293",100,0,0,0,부산광역시,26,16,6,26,2
2025-08-23 18,"     149,531",100,0,0,0,대구광역시,33,28,14,27,1
2025-08-24 00,"     149,531",100,0,0,0,대구광역시,31,17,7,27,2
2025-08-24 03,"     149,531",100,0,0,0,대구광역시,24,13,7,27,2
2025-08-24 06,"     149,531",100,0,0,0,대구광역시,21,12,6,27,2
2025-08-24 09,"     149,531",100,0,0,0,대구광역시,33,23,8,27,2
2025-08-24 12,"     149,531",100,0,0,0,대구광역시,33,28,15,27,1
2025-08-24 15,"     149,531",100,0,0,0,대구광역시,33,28,15,27,1
2025-08-24 18,"     149,531",100,0,0,0,대구광역시,33,28,15,27,1
2025-08-24 21,"     149,531",100,0,0,0,대구광역시,33,22,9,27,2
2025-08-25 00,"     149,531",100,0,0,0,대구광역시,31,15,5,27,3
