analdate,area,d1,d2,d3,d4,doname,maxi,meanavg,mini,regioncode,sigucode,sigun,std,upplocalcd
2025-08-23 18,"2,399",100,0,0,0,서울특별시,33,27,20,11110,11110,종로구,2,11
2025-08-24 00,"2,399",100,0,0,0,서울특별시,26,17,11,11110,11110,종로구,4,11
2025-08-24 03,"2,399",100,0,0,0,서울특별시,24,15,9,11110,11110,종로구,4,11
2025-08-24 06,"2,399",100,0,0,0,서울특별시,21,14,9,11110,11110,종로구,3,11
2025-08-24 09,"2,399",100,0,0,0,서울특별시,31,25,18,11110,11110,종로구,3,11
2025-08-24 12,"2,399",100,0,0,0,서울특별시,33,28,25,11110,11110,종로구,2,11
2025-08-24 15,"2,399",100,0,0,0,서울특별시,33,28,25,11110,11110,종로구,2,11
2025-08-24 18,"2,399",100,0,0,0,서울특별시,33,28,25,11110,11110,종로구,2,11
2025-08-24 21,"2,399",100,0,0,0,서울특별시,28,20,14,11110,11110,종로구,4,11
2025-08-25 00,"2,399",100,0,0,0,서울특별시,26,18,11,11110,11110,종로구,4,11
2025-08-25 03,"2,399",100,0,0,0,서울특별시,24,17,11,11110,11110,종로구,3,11
2025-08-25 06,"2,399",100,0,0,0,서울특별시,24,17,11,11110,11110,종로구,3,11
2025-08-25 09,"2,399",100,0,0,0,서울특별시,28,23,18,11110,11110,종로구,2,11
2025-08-25 12,"2,399",100,0,0,0,서울특별시,28,22,18,11110,11110,종로구,2,11
2025-08-25 15,"2,399",100,0,0,0,서울특별시,30,23,18,11110,11110,종로구,3,11
2025-08-25 18,"2,399",100,0,0,0,서울특별시,28,23,20,11110,11110,종로구,2,11
2025-08-25 21,"2,399",100,0,0,0,서울특별시,24,17,14,11110,11110,종로구,3,11
2025-08-26 00,"2,399",100,0,0,0,서울특별시,21,14,9,11110,11110,종로구,3,11
2025-08-23 18,997,100,0,0,0,서울특별시,33,28,26,11140,11140,중구,1,11
2025-08-24 00,997,100,0,0,0,서울특별시,28,22,18,11140,11140,중구,2,11
2025-08-24 03,997,100,0,0,0,서울특별시,23,19,13,11140,11140,중구,1,11
2025-08-24 06,997,100,0,0,0,서울특별시,23,18,14,11140,11140,중구,2,11
2025-08-24 09,997,100,0,0,0,서울특별시,30,25,23,11140,11140,중구,1,11
2025-08-24 12,997,100,0,0,0,서울특별시,33,28,26,11140,11140,중구,1,11
2025-08-24 15,997,100,0,0,0,서울특별시,33,28,26,11140,11140,중구,1,11
2025-08-24 18,997,100,0,0,0,서울특별시,33,28,26,11140,11140,중구,1,11
2025-08-24 21,997,100,0,0,0,서울특별시,33,26,21,11140,11140,중구,2,11
2025-08-25 00,997,100,0,0,0,서울특별시,28,22,19,11140,11140,중구,2,11
2025-08-25 03,997,100,0,0,0,서울특별시,26,20,16,11140,11140,중구,2,11
2025-08-25 06,997,100,0,0,0,서울특별시,23,19,16,11140,11140,중구,1,11
2025-08-25 09,997,100,0,0,0,서울특별시,28,23,21,11140,11140,중구,1,11
2025-08-25 12,997,100,0,0,0,서울특별시,30,24,19,11140,11140,중구,2,11
2025-08-25 15,997,100,0,0,0,서울특별시,30,24,20,11140,11140,중구,2,11
2025-08-25 18,997,100,0,0,0,서울특별시,30,25,21,11140,11140,중구,2,11
2025-08-25 21,997,100,0,0,0,서울특별시,28,21,16,11140,11140,중구,2,11
2025-08-26 00,997,100,0,0,0,서울특별시,26,19,14,11140,11140,중구,2,11
2025-08-23 18,"2,191",100,0,0,0,서울특별시,33,29,26,11170,11170,용산구,2,11
2025-08-24 00,"2,191",100,0,0,0,서울특별시,28,24,21,11170,11170,용산구,2,11
2025-08-24 03,"2,191",100,0,0,0,서울특별시,24,20,16,11170,11170,용산구,2,11
2025-08-24 06,"2,191",100,0,0,0,서울특별시,24,20,16,11170,11170,용산구,2,11
2025-08-24 09,"2,191",100,0,0,0,서울특별시,31,27,23,11170,11170,용산구,2,11
2025-08-24 12,"2,191",100,0,0,0,서울특별시,33,29,26,11170,11170,용산구,2,11
2025-08-24 15,"2,191",100,0,0,0,서울특별시,33,29,26,11170,11170,용산구,2,11
2025-08-24 18,"2,191",100,0,0,0,서울특별시,33,29,26,11170,11170,용산구,2,11
2025-08-24 21,"2,191",100,0,0,0,서울특별시,33,29,24,11170,11170,용산구,2,11
2025-08-25 00,"2,191",100,0,0,0,서울특별시,28,24,21,11170,11170,용산구,2,11
2025-08-25 03,"2,191",100,0,0,0,서울특별시,26,22,17,11170,11170,용산구,2,11
2025-08-25 06,"2,191",100,0,0,0,서울특별시,24,20,16,11170,11170,용산구,2,11
2025-08-25 09,"2,191",100,0,0,0,서울특별시,28,24,21,11170,11170,용산구,2,11
2025-08-25 12,"2,191",100,0,0,0,서울특별시,31,27,23,11170,11170,용산구,2,11
2025-08-25 15,"2,191",100,0,0,0,서울특별시,31,27,23,11170,11170,용산구,2,11
